Town,Utility_Name,Year,Res_MWh,Com_MWh,Ind_MWh,Other_MWh,Total_MWh,Res_Customers,Com_Customers,Ind_Customers
Ashburnham,Town of Ashburnham,2024,,,,,34964,,,
Boylston,Town of Boylston,2024,,,,,42620,,,
Chicopee,City of Chicopee,2024,194636,121635,121566,,437837,23218,2794,40
Groton,Town of Groton,2024,,,,,72859,,,
Holden,Town of Holden,2024,,,,,105176,,,
Holyoke,City of Holyoke,2024,108136,227354,46317,,381807,15040,2905,21
Hull,Hull Municipal Light Plant,2024,,,,,47318,,,
Ipswich,Town of Ipswich,2024,,,,,111943,,,
Mansfield,Town of Mansfield,2024,81769,18915,118663,,219347,9399,888,277
Marblehead,Town of Marblehead,2024,,,,,99811,,,
Paxton,Town of Paxton,2024,,,,,23429,,,
Peabody,City of Peabody,2024,193326,31571,244352,0,469249,22546,2673,1867
Princeton,Town of Princeton,2024,,,,,15369,,,
Russell,City of Russell,2024,,,,,4865,,,
Shrewsbury,Town of Shrewsbury,2024,137811,44781,96656,,279248,15713,1171,102
South Hadley,Town of South Hadley,2024,,,,,108937,,,
Sterling,Town of Sterling,2023,32189,5649,27044,0,64882,3600,383,94
Templeton,Town of Templeton,2024,,,,,65708,,,
Wakefield,Town of Wakefield,2024,,,,,161595,,,
West Boylston,Town of West Boylston,2024,,,,,58679,,,
